Процессы (в консоль ограничено, в файл пишется полный список):
52       migration/10                 Normal     2025-12-19 14:41:08 Running/R… 0,96     0         
100      migration/11                 Normal     2025-12-19 14:41:08 Running/R… 0,34     0         
58       migration/12                 Normal     2025-12-19 14:41:08 Running/R… 1,67     0         
106      migration/13                 Normal     2025-12-19 14:41:08 Running/R… 0,51     0         
64       migration/14                 Normal     2025-12-19 14:41:08 Running/R… 2,28     0         
112      migration/15                 Normal     2025-12-19 14:41:08 Running/R… 0,61     0         
28       migration/2                  Normal     2025-12-19 14:41:08 Running/R… 2,55     0         
76       migration/3                  Normal     2025-12-19 14:41:08 Running/R… 2,06     0         
34       migration/4                  Normal     2025-12-19 14:41:08 Running/R… 2,37     0         
82       migration/5                  Normal     2025-12-19 14:41:08 Running/R… 0,79     0         
40       migration/6                  Normal     2025-12-19 14:41:08 Running/R… 1,23     0         
88       migration/7                  Normal     2025-12-19 14:41:08 Running/R… 0,45     0         
46       migration/8                  Normal     2025-12-19 14:41:08 Running/R… 2,02     0         
94       migration/9                  Normal     2025-12-19 14:41:08 Running/R… 0,59     0         
1144     mt76-tx phy0                 Normal     2025-12-19 14:41:15 Running/R… 3,24     0         
678      napi/phy0-8193               Normal     2025-12-19 14:41:14 Running/R… 8,13     0         
679      napi/phy0-8194               Normal     2025-12-19 14:41:14 Running/R… 0,22     0         
680      napi/phy0-8195               Normal     2025-12-19 14:41:14 Running/R… 4,30     0         
73727    nautilus                     Normal     2025-12-19 16:44:02 Running/R… 6,18     207       
846      NetworkManager               Normal     2025-12-19 14:41:15 Running/R… 2,47     25        
2091     nm-applet                    Normal     2025-12-19 14:41:24 Running/R… 4,11     48        
120      oom_reaper                   Normal     2025-12-19 14:41:08 Running/R… 0,00     0         
1667     pipewire                     High       2025-12-19 14:41:21 Running/R… 4,91     11        
1670     pipewire-pulse               High       2025-12-19 14:41:21 Running/R… 7,81     10        
2107     polkit-gnome-authentication… Normal     2025-12-19 14:41:24 Running/R… 0,15     22        
2117     polkitd                      Normal     2025-12-19 14:41:24 Running/R… 0,61     8         
3        pool_workqueue_release       Normal     2025-12-19 14:41:08 Running/R… 0,00     0         
38600    Privileged Cont              AboveNormal 2025-12-19 15:03:30 Running/R… 3,65     164       
415      psimon                       Normal     2025-12-19 14:41:13 Running/R… 0,00     0         
431      psimon                       Normal     2025-12-19 14:41:13 Running/R… 0,00     0         
1310     psimon                       Normal     2025-12-19 14:41:17 Running/R… 0,00     0         
2132     python3                      Normal     2025-12-19 14:41:24 Running/R… 3,53     21        
5955     python3                      Normal     2025-12-19 14:41:41 Running/R… 0,55     30        
20       rcub/0                       Normal     2025-12-19 14:41:08 Running/R… 0,00     0         
22       rcu_exp_gp_kthread_worker    Normal     2025-12-19 14:41:08 Running/R… 0,12     0         
21       rcu_exp_par_gp_kthread_work… Normal     2025-12-19 14:41:08 Running/R… 0,00     0         
19       rcu_preempt                  Normal     2025-12-19 14:41:08 Running/R… 7,54     0         
15       rcu_tasks_kthread            Normal     2025-12-19 14:41:08 Running/R… 0,00     0         
16       rcu_tasks_rude_kthread       Normal     2025-12-19 14:41:08 Running/R… 0,00     0         
17       rcu_tasks_trace_kthread      Normal     2025-12-19 14:41:08 Running/R… 0,00     0         
8930     RDD Process                  AboveNormal 2025-12-19 14:42:26 Running/R… 1,47     221       
59961    Rider.Backend                Normal     2025-12-19 15:45:54 Running/R… 410,08   1181      
2062     rtkit-daemon                 BelowNormal 2025-12-19 14:41:24 Running/R… 0,11     3         
895      sddm                         Normal     2025-12-19 14:41:15 Running/R… 0,02     19        
1635     sddm-helper                  Normal     2025-12-19 14:41:20 Running/R… 0,03     20        
8903     Socket Process               AboveNormal 2025-12-19 14:42:25 Running/R… 0,04     39        
1967     swayosd-server               Normal     2025-12-19 14:41:24 Running/R… 0,44     37        
3224     swww-daemon                  Normal     2025-12-19 14:41:25 Running/R… 0,23     2         
1669     systemctl                    Normal     2025-12-19 14:41:21 Running/R… 0,20     6         
1        systemd                      Normal     2025-12-19 14:41:08 Running/R… 4,35     13        
1651     systemd                      Normal     2025-12-19 14:41:20 Running/R… 15,41    16        
382      systemd-journald             Normal     2025-12-19 14:41:13 Running/R… 2,45     20        
850      systemd-logind               Normal     2025-12-19 14:41:15 Running/R… 0,51     8         
418      systemd-resolved             Normal     2025-12-19 14:41:13 Running/R… 3,80     15        
419      systemd-timesyncd            Normal     2025-12-19 14:41:13 Running/R… 0,08     7         
427      systemd-udevd                Normal     2025-12-19 14:41:13 Running/R… 0,96     10        
405      systemd-userdbd              Normal     2025-12-19 14:41:13 Running/R… 0,07     5         
83767    systemd-userwork: waiting... Normal     2025-12-19 17:12:35 Running/R… 0,00     6         
85973    systemd-userwork: waiting... Normal     2025-12-19 17:16:02 Running/R… 0,00     5         
86045    systemd-userwork: waiting... Normal     2025-12-19 17:16:41 Running/R… 0,00     5         
59100    Telegram                     Normal     2025-12-19 15:45:22 Running/R… 283,06   752       
2096     udiskie                      Normal     2025-12-19 14:41:24 Running/R… 0,64     50        
2363     udisksd                      Normal     2025-12-19 14:41:24 Running/R… 0,21     10        
2161     upowerd                      Normal     2025-12-19 14:41:24 Running/R… 1,71     11        
9156     Utility Process              AboveNormal 2025-12-19 14:42:27 Running/R… 21,44    51        
86541    VBCSCompiler                 Normal     2025-12-19 17:17:33 Running/R… 4,61     185       
1725     waitpid                      Normal     2025-12-19 14:41:22 Running/R… 0,00     1         
1726     waitpid                      Normal     2025-12-19 14:41:22 Running/R… 0,00     1         
138      watchdogd                    Normal     2025-12-19 14:41:08 Running/R… 0,00     0         
2296     waybar                       Normal     2025-12-19 14:41:24 Running/R… 52,01    72        
67407    Web Content                  AboveNormal 2025-12-19 16:36:40 Running/R… 1,29     102       
73185    Web Content                  AboveNormal 2025-12-19 16:41:26 Running/R… 0,95     102       
73237    Web Content                  AboveNormal 2025-12-19 16:41:28 Running/R… 0,46     102       
9102     WebExtensions                AboveNormal 2025-12-19 14:42:26 Running/R… 142,87   259       
1668     wireplumber                  High       2025-12-19 14:41:21 Running/R… 0,29     16        
2097     wl-paste                     Normal     2025-12-19 14:41:24 Running/R… 0,06     1         
2102     wl-paste                     Normal     2025-12-19 14:41:24 Running/R… 0,05     1         
1203     wpa_supplicant               Normal     2025-12-19 14:41:16 Running/R… 0,23     10        
3593     xdg-desktop-portal           Normal     2025-12-19 14:41:27 Running/R… 0,35     14        
3565     xdg-desktop-portal-hyprland  Normal     2025-12-19 14:41:26 Running/R… 0,31     15        
2044     xdg-document-portal          Normal     2025-12-19 14:41:24 Running/R… 0,06     6         
8526     xdg-open                     AboveNormal 2025-12-19 14:42:24 Running/R… 0,02     5         
1771     xdg-permission-store         Normal     2025-12-19 14:41:22 Running/R… 0,00     5         
910      Xorg                         Normal     2025-12-19 14:41:15 Running/R… 0,44     66        
2045     Xwayland                     Normal     2025-12-19 14:41:24 Running/R… 99,76    160       

Текущий процесс:
PID: 86593
Name: L14
Threads: 13
RAM(MB): 64
CPU total(s): 0,34
Текущий домен (AppDomain.CurrentDomain):
Name: L14
BaseDirectory: /home/euphoo/02. University/2 КУРС/ООП/L14/L14/L14/bin/Debug/net10.0/
Assemblies loaded: 24
- System.Private.CoreLib, v10.0.0.0
- L14, v1.0.0.0
- System.Runtime, v10.0.0.0
- JetBrains.Microsoft.Extensions.DotNetDeltaApplier, v1.0.0.0
- System.Linq, v10.0.0.0
- System.Collections, v10.0.0.0
- System.Console, v10.0.0.0
- System.Diagnostics.Process, v10.0.0.0
- System.Collections.Concurrent, v10.0.0.0
- System.ComponentModel.Primitives, v10.0.0.0
- System.Threading, v10.0.0.0
- System.Runtime.InteropServices, v10.0.0.0

Попытка создать новый AppDomain:
CreateDomain/Unload недоступны: PlatformNotSupportedException — Secondary AppDomains are not supported on this platform.

Загрузка/выгрузка сборки через AssemblyLoadContext (collectible):
Loaded into ALC: L14
Unload requested (AssemblyLoadContext).
