Процессы (в консоль ограничено, в файл пишется полный список):
2362     gvfsd-metadata               Normal     2025-12-19 14:41:24 Running/R… 0,93     6         
5736     gvfsd-network                Normal     2025-12-19 14:41:41 Running/R… 0,04     11        
73768    gvfsd-recent                 Normal     2025-12-19 16:44:03 Running/R… 0,18     15        
4907     gvfsd-trash                  Normal     2025-12-19 14:41:41 Running/R… 0,06     12        
5899     gvfsd-wsdd                   Normal     2025-12-19 14:41:41 Running/R… 0,19     12        
2087     hyde-config                  Normal     2025-12-19 14:41:24 Running/R… 0,01     2         
2088     hypridle                     Normal     2025-12-19 14:41:24 Running/R… 0,11     6         
1787     Hyprland                     Normal     2025-12-19 14:41:22 Running/R… 369,75   334       
24       idle_inject/0                Normal     2025-12-19 14:41:08 Running/R… 0,00     0         
69       idle_inject/1                Normal     2025-12-19 14:41:08 Running/R… 0,00     0         
51       idle_inject/10               Normal     2025-12-19 14:41:08 Running/R… 0,00     0         
99       idle_inject/11               Normal     2025-12-19 14:41:08 Running/R… 0,00     0         
57       idle_inject/12               Normal     2025-12-19 14:41:08 Running/R… 0,00     0         
105      idle_inject/13               Normal     2025-12-19 14:41:08 Running/R… 0,00     0         
63       idle_inject/14               Normal     2025-12-19 14:41:08 Running/R… 0,00     0         
111      idle_inject/15               Normal     2025-12-19 14:41:08 Running/R… 0,00     0         
27       idle_inject/2                Normal     2025-12-19 14:41:08 Running/R… 0,00     0         
75       idle_inject/3                Normal     2025-12-19 14:41:08 Running/R… 0,00     0         
33       idle_inject/4                Normal     2025-12-19 14:41:08 Running/R… 0,00     0         
81       idle_inject/5                Normal     2025-12-19 14:41:08 Running/R… 0,00     0         
39       idle_inject/6                Normal     2025-12-19 14:41:08 Running/R… 0,00     0         
87       idle_inject/7                Normal     2025-12-19 14:41:08 Running/R… 0,00     0         
45       idle_inject/8                Normal     2025-12-19 14:41:08 Running/R… 0,00     0         
93       idle_inject/9                Normal     2025-12-19 14:41:08 Running/R… 0,00     0         
141      irq/25-AMD-Vi                Normal     2025-12-19 14:41:08 Running/R… 0,00     0         
169      irq/26-ACPI:Event            Normal     2025-12-19 14:41:09 Running/R… 0,00     0         
